,Team Won Toss,Date.,Opp,Result,Spread,Coin Toss Result
,,,,,,
1,PIT,1/5/08,JAX,L,2.5,R
,,,,,,
2,WAS,1/5/08,SEA,L,3.5,R
,,,,,,
3,NYG,1/6/08,TAM,W,3,R
,,,,,,
4,TEN,1/6/08,SDG,L,10,R
,,,,,,
5,GNB,1/12/08,SEA,W,-7.5,R
,,,,,,
6,JAX,1/12/08,NWE,L,13.5,R
,,,,,,
7,IND,1/13/08,SDG,L,-11,R
,,,,,,
8,NYG,1/13/08,DAL,W,7,R
,,,,,,
9,GNB,1/20/08,NYG,L,-7.5,D
,,,,,,
10,SDG,1/20/08,NWE,L,14,R
,,,,,,
11,NYG,2/3/08,NWE,W,12.5,R
,,,,,,
12,ARI,1/3/09,ATL,W,-2,R
,,,,,,
13,SDG,1/3/09,IND,W,2.5,R
,,,,,,
14,MIN,1/4/09,PHI,L,3.5,D
,,,,,,
15,MIA,1/4/09,BAL,L,3.5,D
,,,,,,
16,CAR,1/10/09,ARI,L,-10,R
,,,,,,
17,TEN,1/10/09,BAL,L,-3,D
,,,,,,
18,PIT,1/11/09,SDG,W,-6.5,D
,,,,,,
19,NYG,1/11/09,PHI,L,-4,R
,,,,,,
20,ARI,1/18/09,PHI,W,3.5,R
,,,,,,
21,BAL,1/18/09,PIT,L,6,D
,,,,,,
22,ARI,2/1/09,PIT,L,6.5,D
,,,,,,
23,DAL,1/9/10,PHI,W,-3.5,R
,,,,,,
24,CIN,1/9/10,NYJ,L,-2.5,R
,,,,,,
25,NWE,1/10/10,BAL,L,-4,R
,,,,,,
26,GNB,1/10/10,ARI,L,-2.5,R
,,,,,,
27,IND,1/16/10,BAL,W,-6.5,R
,,,,,,
28,ARI,1/16/10,NOR,L,7,R
,,,,,,
29,DAL,1/17/10,MIN,L,2.5,R
,,,,,,
30,NYJ,1/17/10,SDG,W,9,D
,,,,,,
31,IND,1/24/10,NYJ,W,-8.5,R
,,,,,,
32,MIN,1/24/10,NOR,L,3.5,R
,,,,,,
33,NOR,2/7/10,IND,W,4.5,R
,,,,,,
34,NOR,1/8/11,SEA,L,-10,R
,,,,,,
35,IND,1/8/11,NYJ,L,-2,R
,,,,,,
36,PHI,1/9/11,GNB,L,-2.5,R
,,,,,,
37,KAN,1/9/11,BAL,L,3,D
,,,,,,
38,PIT,1/15/11,BAL,W,-3,D
,,,,,,
39,GNB,1/15/11,ATL,W,1.5,D
,,,,,,
40,NWE,1/16/11,NYJ,L,-9.5,D
,,,,,,
41,SEA,1/16/11,CHI,L,10,R
,,,,,,
42,CHI,1/23/11,GNB,L,3.5,D
,,,,,,
43,NYJ,1/23/11,PIT,L,4,D
,,,,,,
44,GNB,2/6/11,PIT,W,-3,D
,,,,,,
45,CIN,1/7/12,HOU,L,4,D
,,,,,,
46,DET,1/7/12,NOR,L,10.5,R
,,,,,,
47,NYG,1/8/12,ATL,W,-3,R
,,,,,,
48,DEN,1/8/12,PIT,W,7.5,D
,,,,,,
49,SFO,1/14/12,NOR,W,3.5,D
,,,,,,
50,DEN,1/14/12,NWE,L,13.5,D
,,,,,,
51,BAL,1/15/12,HOU,W,-8,D
,,,,,,
52,GNB,1/15/12,NYG,L,-8,D
,,,,,,
53,NWE,1/22/12,BAL,W,-7,D
,,,,,,
54,NYG,1/22/12,SFO,W,2,D
,,,,,,
55,NWE,2/5/12,NYG,L,-3,D
,,,,,,
56,GNB,1/5/13,MIN,W,-11,D
,,,,,,
57,HOU,1/5/13,CIN,W,-4,R
,,,,,,
58,WAS,1/6/13,SEA,L,3,R
,,,,,,
59,IND,1/6/13,BAL,L,7,D
,,,,,,
60,DEN,1/12/13,BAL,L,-9,D
,,,,,,
61,SFO,1/12/13,GNB,W,-3,R
,,,,,,
62,ATL,1/13/13,SEA,W,-3,R
,,,,,,
63,HOU,1/13/13,NWE,L,9.5,R
,,,,,,
64,SFO,1/20/13,ATL,W,-4.5,D
,,,,,,
65,BAL,1/20/13,NWE,W,7.5,D
,,,,,,
66,BAL,2/3/13,SFO,W,4.5,D
,,,,,,
67,PHI,1/4/14,NOR,L,-3,R
,,,,,,
68,KAN,1/4/14,IND,L,-2.5,R
,,,,,,
69,CIN,1/5/14,SDG,L,-6,D
,,,,,,
70,SFO,1/5/14,GNB,W,-3,R
,,,,,,
71,SEA,1/11/14,NOR,W,-9,D
,,,,,,
72,IND,1/11/14,NWE,L,7,R
,,,,,,
73,DEN,1/12/14,SDG,W,-7.5,D
,,,,,,
74,CAR,1/12/14,SFO,L,1,D
,,,,,,
75,DEN,1/19/14,NWE,W,-5,D
,,,,,,
76,SFO,1/19/14,SEA,L,4,D
,,,,,,
77,SEA,2/2/14,DEN,W,2.5,D
,,,,,,
78,PIT,1/3/15,BAL,L,-3,R
,,,,,,
79,ARI,1/3/15,CAR,L,6.5,R
,,,,,,
80,DAL,1/4/15,DET,W,-6.5,R
,,,,,,
81,IND,1/4/15,CIN,W,-3,R
,,,,,,
82,NWE,1/10/15,BAL,W,-7,D
,,,,,,
83,CAR,1/10/15,SEA,L,11.5,R
,,,,,,
84,DEN,1/11/15,IND,L,-7,D
,,,,,,
85,DAL,1/11/15,GNB,L,6,R
,,,,,,
86,SEA,1/18/15,GNB,W,-8.5,D
,,,,,,
87,NWE,1/18/15,IND,W,-7,D
,,,,,,
88,SEA,2/1/15,NWE,L,0,D
