,Team Won Toss,Date,Opp,Result,Spread,Coin Toss Choice
19,CIN,1/9/16,PIT,L,3,D
21,HOU,1/9/16,KAN,L,3,D
29,GNB,1/10/16,WAS,W,1,R
39,SEA,1/10/16,MIN,W,-4.5,D
9,GNB,1/16/16,ARI,L,7,D
14,KAN,1/16/16,NWE,L,4.5,D
26,SEA,1/17/16,CAR,L,2.5,D
48,DEN,1/17/16,PIT,W,-7.5,D
20,ARI,1/24/16,CAR,L,3,D
35,NWE,1/24/16,DEN,L,-3,R
40,CAR,2/7/16,DEN,L,-5,D
17,OAK,1/7/17,HOU,L,4,D
51,SEA,1/7/17,DET,W,-8,D
1,MIA,1/8/17,PIT,L,11,D
41,GNB,1/8/17,NYG,W,-5,D
44,ATL,1/14/17,SEA,W,-6.5,D
54,NWE,1/14/17,HOU,W,-16,D
13,GNB,1/15/17,DAL,W,5.5,D
25,PIT,1/15/17,KAN,W,2.5,R
12,GNB,1/22/17,ATL,L,6.5,D
43,NWE,1/22/17,PIT,W,-5.5,R
18,ATL,2/5/17,NWE,L,3,D
3,TEN,1/6/18,KAN,W,8.5,D
10,ATL,1/6/18,LAR,W,6.5,D
11,CAR,1/7/18,NOR,L,6.5,D
50,JAX,1/7/18,BUF,W,-8,D
32,ATL,1/13/18,PHI,L,-2.5,D
53,NWE,1/13/18,TEN,W,-13.5,R
42,MIN,1/14/18,NOR,W,-5.5,D
46,PIT,1/14/18,JAX,L,-7,D
7,JAX,1/21/18,NWE,L,7.5,D
22,PHI,1/21/18,MIN,W,3,D
38,NWE,2/4/18,PHI,L,-4.5,D
27,SEA,1/5/19,DAL,L,2.5,D
31,HOU,1/5/19,IND,L,-2,D
24,LAC,1/6/19,BAL,W,3,D
45,CHI,1/6/19,PHI,L,-6.5,D
6,DAL,1/12/19,LAR,L,7.5,D
37,KAN,1/12/19,IND,W,-4,D
4,PHI,1/13/19,NOR,L,8.5,D
36,NWE,1/13/19,LAC,W,-3.5,R
23,LAR,1/20/19,NOR,W,3,D
34,KAN,1/20/19,NWE,L,-3,D
28,LAR,2/3/19,NWE,L,2,D
15,TEN,1/4/20,NWE,W,4.5,D
33,HOU,1/4/20,BUF,W,-2.5,D
8,MIN,1/5/20,NOR,W,7.5,R
30,PHI,1/5/20,SEA,L,-1,D
47,SFO,1/11/20,MIN,W,-7,D
52,BAL,1/11/20,TEN,L,-10,D
2,HOU,1/12/20,KAN,L,10,R
16,SEA,1/12/20,GNB,L,4.5,D
5,GNB,1/19/20,SFO,L,8,D
49,KAN,1/19/20,TEN,W,-7.5,D
55,SFO,2/2/20,KAN,L,1.5,D
