Rk,Tm,Year,Date▲,Time,LTime,,Opp,Week,G#,Day,Result,OT,Spread,vs. Line,Over/Under,OU Result
1,PIT,2007,1/5/08,8:13,8:13,,JAX,18,17,Sat,L 29-31,,2.5,covered,40,over
2,WAS,2007,1/5/08,4:35,1:35,@,SEA,18,17,Sat,L 14-35,,3.5,not covered,38.5,over
3,NYG,2007,1/6/08,1:03,1:03,@,TAM,18,17,Sun,W 24-14,,3,covered,39.5,under
4,TEN,2007,1/6/08,4:30,1:30,@,SDG,18,17,Sun,L 6-17,,10,not covered,39,under
5,GNB,2007,1/12/08,4:33,3:33,,SEA,19,17,Sat,W 42-20,,-7.5,covered,44,over
6,JAX,2007,1/12/08,8:15,8:15,@,NWE,19,18,Sat,L 20-31,,13.5,covered,51.5,under
7,IND,2007,1/13/08,1:06,1:06,,SDG,19,17,Sun,L 24-28,,-11,not covered,47,over
8,NYG,2007,1/13/08,4:45,3:45,@,DAL,19,18,Sun,W 21-17,,7,covered,47.5,under
9,GNB,2007,1/20/08,6:42,5:42,,NYG,20,18,Sun,L 20-23,OT,-7.5,not covered,41.5,over
10,SDG,2007,1/20/08,3:05,3:05,@,NWE,20,19,Sun,L 12-21,,14,covered,48,under
11,NYG,2007,2/3/08,6:30,4:30,N,NWE,21,20,Sun,W 17-14,,12.5,covered,54.5,under
12,ARI,2008,1/3/09,4:36,2:36,,ATL,18,17,Sat,W 30-24,,-2,covered,52,over
13,SDG,2008,1/3/09,8:08,5:08,,IND,18,17,Sat,W 23-17,OT,2.5,covered,50,under
14,MIN,2008,1/4/09,4:40,3:40,,PHI,18,17,Sun,L 14-26,,3.5,not covered,41,under
15,MIA,2008,1/4/09,1:03,1:03,,BAL,18,17,Sun,L 9-27,,3.5,not covered,38,under
16,CAR,2008,1/10/09,8:16,8:16,,ARI,19,17,Sat,L 13-33,,-10,not covered,49.5,under
17,TEN,2008,1/10/09,4:33,3:33,,BAL,19,17,Sat,L 10-13,,-3,not covered,33.5,under
18,PIT,2008,1/11/09,4:45,4:45,,SDG,19,17,Sun,W 35-24,,-6.5,covered,38.5,over
19,NYG,2008,1/11/09,1:06,1:06,,PHI,19,17,Sun,L 11-23,,-4,not covered,39,under
20,ARI,2008,1/18/09,4:06,1:06,,PHI,20,19,Sun,W 32-25,,3.5,covered,47,over
21,BAL,2008,1/18/09,6:43,6:43,@,PIT,20,19,Sun,L 14-23,,6,not covered,35.5,over
22,ARI,2008,2/1/09,6:31,6:31,N,PIT,21,20,Sun,L 23-27,,6.5,covered,46.5,over
23,DAL,2009,1/9/10,8:05,7:05,,PHI,18,17,Sat,W 34-14,,-3.5,covered,46,over
24,CIN,2009,1/9/10,4:36,4:36,,NYJ,18,17,Sat,L 14-24,,-2.5,not covered,34.5,over
25,NWE,2009,1/10/10,1:03,1:03,,BAL,18,17,Sun,L 14-33,,-4,not covered,44,over
26,GNB,2009,1/10/10,4:30,2:30,@,ARI,18,17,Sun,L 45-51,OT,-2.5,not covered,48,over
27,IND,2009,1/16/10,8:15,8:15,,BAL,19,17,Sat,W 20-3,,-6.5,covered,44,under
28,ARI,2009,1/16/10,4:34,3:34,@,NOR,19,18,Sat,L 14-45,,7,not covered,57,over
29,DAL,2009,1/17/10,1:05,12:05,@,MIN,19,18,Sun,L 3-34,,2.5,not covered,45,under
30,NYJ,2009,1/17/10,4:40,1:40,@,SDG,19,18,Sun,W 17-14,,9,covered,42.5,under
31,IND,2009,1/24/10,3:05,3:05,,NYJ,20,18,Sun,W 30-17,,-8.5,covered,40.5,over
32,MIN,2009,1/24/10,6:45,5:45,@,NOR,20,18,Sun,L 28-31,OT,3.5,covered,54,over
33,NOR,2009,2/7/10,6:31,6:31,N,IND,21,19,Sun,W 31-17,,4.5,covered,56.5,under
34,NOR,2010,1/8/11,4:35,1:35,@,SEA,18,17,Sat,L 36-41,,-10,not covered,46,over
35,IND,2010,1/8/11,8:15,8:15,,NYJ,18,17,Sat,L 16-17,,-2,not covered,44.5,under
36,PHI,2010,1/9/11,4:40,4:40,,GNB,18,17,Sun,L 16-21,,-2.5,not covered,47,under
37,KAN,2010,1/9/11,1:06,12:06,,BAL,18,17,Sun,L 7-30,,3,not covered,41,under
38,PIT,2010,1/15/11,4:35,4:35,,BAL,19,17,Sat,W 31-24,,-3,covered,37,over
39,GNB,2010,1/15/11,8:15,8:15,@,ATL,19,18,Sat,W 48-21,,1.5,covered,43.5,over
40,NWE,2010,1/16/11,4:40,4:40,,NYJ,19,17,Sun,L 21-28,,-9.5,not covered,45,over
41,SEA,2010,1/16/11,1:05,12:05,@,CHI,19,18,Sun,L 24-35,,10,not covered,43,over
42,CHI,2010,1/23/11,3:05,2:05,,GNB,20,18,Sun,L 14-21,,3.5,not covered,42.5,under
