Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Spread,vs. Line,Over/Under,OU Result
1,MIA,2016,1/8/17,1:05,1:05,@,PIT,18,17,Sun,L 12-30,,11,not covered,47.5,under
2,HOU,2019,1/12/20,3:05,2:05,@,KAN,19,19,Sun,L 31-51,,10,not covered,50.5,over
3,TEN,2017,1/6/18,4:35,3:35,@,KAN,18,17,Sat,W 22-21,,8.5,covered,44,under
4,PHI,2018,1/13/19,4:40,3:40,@,NOR,19,18,Sun,L 14-20,,8.5,covered,52,under
5,GNB,2019,1/19/20,6:40,3:40,@,SFO,20,19,Sun,L 20-37,,8,not covered,46.5,over
6,DAL,2018,1/12/19,8:15,5:15,@,LAR,19,18,Sat,L 22-30,,7.5,not covered,48,over
7,JAX,2017,1/21/18,3:05,3:05,@,NWE,20,19,Sun,L 20-24,,7.5,covered,46,under
8,MIN,2019,1/5/20,1:05,12:05,@,NOR,18,18,Sun,W 26-20,OT,7.5,covered,50,under
9,GNB,2015,1/16/16,8:15,6:15,@,ARI,19,18,Sat,L 20-26,OT,7,covered,49,under
10,ATL,2017,1/6/18,8:15,5:15,@,LAR,18,17,Sat,W 26-13,,6.5,covered,48,under
11,CAR,2017,1/7/18,4:40,3:40,@,NOR,18,17,Sun,L 26-31,,6.5,covered,47.5,over
12,GNB,2016,1/22/17,3:05,3:05,@,ATL,20,19,Sun,L 21-44,,6.5,not covered,59.5,over
13,GNB,2016,1/15/17,4:40,3:40,@,DAL,19,18,Sun,W 34-31,,5.5,covered,52.5,over
14,KAN,2015,1/16/16,4:35,4:35,@,NWE,19,18,Sat,L 20-27,,4.5,not covered,43,over
15,TEN,2019,1/4/20,8:15,8:15,@,NWE,18,18,Sat,W 20-13,,4.5,covered,45,under
16,SEA,2019,1/12/20,6:40,5:40,@,GNB,19,19,Sun,L 23-28,,4.5,not covered,46,over
17,OAK,2016,1/7/17,4:35,3:35,@,HOU,18,17,Sat,L 14-27,,4,not covered,38,over
18,ATL,2016,2/5/17,6:30,5:30,N,NWE,21,19,Sun,L 28-34,OT,3,not covered,57,over
19,CIN,2015,1/9/16,8:15,8:15,,PIT,18,17,Sat,L 16-18,,3,covered,45,under
20,ARI,2015,1/24/16,6:42,6:42,@,CAR,20,18,Sun,L 15-49,,3,not covered,47.5,over
21,HOU,2015,1/9/16,4:35,3:35,,KAN,18,17,Sat,L 0-30,,3,not covered,40,under
22,PHI,2017,1/21/18,6:40,6:40,,MIN,20,18,Sun,W 38-7,,3,covered,39,over
23,LAR,2018,1/20/19,3:05,2:05,@,NOR,20,18,Sun,W 26-23,OT,3,covered,55.5,under
24,LAC,2018,1/6/19,1:05,1:05,@,BAL,18,17,Sun,W 23-17,,3,covered,43,under
25,PIT,2016,1/15/17,8:20,7:20,@,KAN,19,18,Sun,W 18-16,,2.5,covered,45.5,under
26,SEA,2015,1/17/16,1:06,1:06,@,CAR,19,18,Sun,L 24-31,,2.5,not covered,44,over
27,SEA,2018,1/5/19,8:15,7:15,@,DAL,18,17,Sat,L 22-24,,2.5,covered,43,over
28,LAR,2018,2/3/19,6:30,6:30,N,NWE,21,19,Sun,L 3-13,,2,not covered,55.5,under
